intent,category,display_name,max_per_100_steps,gpt-5.4_per_100_steps,claude-opus-4-5_per_100_steps,gpt-5.3-codex_per_100_steps,gpt-5.2-codex_per_100_steps,claude-opus-4-6_per_100_steps
read-file-full,read,view file,25.55,20.32,10.89,22.06,25.55,8.17
search-keyword,search,grep / ripgrep,23.10,15.49,14.26,14.74,12.36,23.10
read-file-range,read,view lines (range),13.40,13.22,13.40,11.95,6.32,12.11
edit-source,edit,edit source,16.42,8.80,16.42,11.37,10.99,7.32
git-github-context,git,GitHub context,10.42,10.40,6.05,7.71,9.62,10.42
git-repo-inspect,git,repo inspect,5.95,5.95,3.80,4.91,4.12,5.07
compile-build,verify,go build / make / tsc,7.26,2.24,7.26,2.79,3.30,6.20
git-local-state-change,git,local state change,7.69,2.02,4.06,2.60,7.69,5.63
read-file-full(truncated),read,view file (truncated),2.59,2.53,2.59,1.73,2.47,1.41
run-inline-verify,verify,inline verify snippet,3.28,3.14,0.43,3.28,0.00,0.28
edit-test-or-repro,verify,edit test / repro,4.72,1.54,1.64,4.72,0.82,2.82
git-publish,git,publish,4.40,0.96,2.33,1.64,4.40,2.54
inspect-file-metadata,search,wc / stat,3.28,1.73,0.00,3.28,0.82,0.28
run-test-specific,verify,pytest -k / :: (targeted),2.82,1.28,0.09,1.16,0.27,2.82
bash-other,other,other shell command,1.56,1.15,1.56,0.58,0.27,0.56
create-file,edit,create file,1.47,1.25,1.47,0.48,0.55,0.00
search-files-by-name,search,find by filename,2.25,0.77,1.12,0.39,0.00,2.25
git-diff-review,git,diff review,1.54,0.58,0.86,1.54,0.55,0.56
list-directory,search,ls / tree,3.02,0.13,1.90,0.48,3.02,1.41
git-sync-integrate,git,sync / integrate,1.92,0.58,0.52,0.39,1.92,1.13
read-via-bash,read,cat / head / tail,1.69,0.29,1.64,0.00,0.00,1.69
run-custom-script,verify,run custom script,1.41,0.54,0.86,0.10,0.00,1.41
run-test-suite,verify,pytest / go test (broad),1.64,0.06,1.64,0.10,1.37,0.28
read-config-file,read,view config file,0.82,0.67,0.35,0.00,0.82,0.00
file-cleanup,housekeeping,rm / mv / cp,1.12,0.26,1.12,0.29,0.27,0.00
create-test-script,verify,write test file,0.85,0.32,0.09,0.48,0.82,0.85
run-inline-snippet,verify,python -c / node -e,0.51,0.51,0.09,0.19,0.27,0.00
edit-source(failed),failed,edit source (failed),0.56,0.38,0.09,0.29,0.27,0.56
create-file-via-inline-script,edit,inline create-file snippet,0.58,0.58,0.00,0.10,0.00,0.00
fetch-url,other,curl / http,1.30,0.00,1.30,0.00,0.00,0.56
read-file-failed,failed,read (failed),0.55,0.32,0.09,0.29,0.55,0.00
search-files-by-content,search,find | grep,1.21,0.06,1.21,0.00,0.00,0.00
bash-command(failed),failed,bash (shell error),0.35,0.29,0.35,0.10,0.00,0.00
tmux-session,housekeeping,tmux,0.35,0.35,0.09,0.00,0.00,0.00
edit-test-or-repro(failed),failed,edit test/repro (failed),0.26,0.26,0.09,0.10,0.00,0.00
read-via-inline-script,read,inline read snippet,0.26,0.26,0.00,0.00,0.00,0.00
web-search,search,web search,0.27,0.16,0.00,0.00,0.27,0.00
run-script(failed),failed,python/node (shell error),0.19,0.19,0.00,0.00,0.00,0.00
install-deps,housekeeping,pip install / npm install,0.28,0.00,0.26,0.00,0.27,0.28
search-keyword(failed),failed,grep/find (shell error),0.28,0.06,0.00,0.19,0.00,0.28
create-repro-script,reproduce,write repro script,0.13,0.13,0.00,0.00,0.00,0.00
run-repro-script,reproduce,run repro script,0.10,0.10,0.00,0.00,0.00,0.00
start-service,housekeeping,"start service (redis, etc.)",0.09,0.06,0.09,0.00,0.00,0.00
edit-via-inline-script,edit,inline edit snippet,0.06,0.06,0.00,0.00,0.00,0.00
echo,other,echo / printf,0.03,0.03,0.00,0.00,0.00,0.00
